id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
17255630398072300451,mWGnD98AAAAJ,Pablo A. Miranda-Gonzalez,"Universidad Catolica del Norte, Professor and Researcher",ucn,ucn.cl,1521,Supply Chain Network Design Insular Vehicle Routing Operations Research Integer Programming Inventory Location Problems 
17255630398072300451,ElUSXp4AAAAJ,Izabela Simon Rampasso,Universidad Católica del Norte,ucn,ucn.cl,1247,
17255630398072300451,WuEIl3EAAAAJ,ML Ladrón de Guevara,Universidad Católica del Norte,ucn,ucn.cl,1236,
17255630398072300451,zhfLxpoAAAAJ,Floria Carla Pancetti Vaccari,"Universidad Católica del Norte, Department of Biomedical Sciences",ucn,ucn.cl,1164,Neurotoxicology neuropharmacology 
17255630398072300451,af7CvKsAAAAJ,Marcel Emilio Ramos Quezada,Universidad Católica del Norte,ucn,ucn.cl,1087,Oceanografía Física Dinámica de sistemas de borde oriental 
17255630398072300451,e1mlaFwAAAAJ,Sören Scholvin,Universidad Católica del Norte,ucn,ucn.cl,1051,Economic Geography 
17255630398072300451,m53Whe4AAAAJ,Luis Bravo,ESMOI-UCN,ucn,ucn.cl,1030,Oceanografía Física Dinámica Costera 
17255630398072300451,fxp9vSgAAAAJ,Dusan Paredes Araya,Universidad Catolica del Norte,ucn,ucn.cl,975,Economia 
17255630398072300451,knpEjDsAAAAJ,Gonzalo Alvarez Vergara,"Departamento de Acuicultura, Universidad Católica del Norte, Coquimbo, Chile",ucn,ucn.cl,919,Harmful Algal Blooms Marine Toxins Toxic Phytoplankton Aquaculture 
17255630398072300451,7rMU8bMAAAAJ,Praxedes Munoz Parra,Universidad Católica del Norte,ucn,ucn.cl,919,Marine biogeochemistry trace metals radioisotopes paleoceanography 
17255630398072300451,tVlSqnsAAAAJ,Eduardo Campos Sepulveda,Universidad Católica del Norte,ucn,ucn.cl,896,Geología Económica 
17255630398072300451,Vaj82wwAAAAJ,Javier Arzúa Touriño,"Department of Metallurgical and Mining Engineering, Universidad Católica del Norte …",ucn,ucn.cl,840,Rock Mechanics 
17255630398072300451,qTKwWCsAAAAJ,Alejandro Garcés,Universidad Católica del Norte,ucn,ucn.cl,828,Antropología Atacama Fronteras Movilidad 
17255630398072300451,yS-toqAAAAAJ,Jaime Aburto Frias,"Académico, Departamento Biologia Marina, Universidad Católica del Norte",ucn,ucn.cl,808,small scale fishery fishery management social ecological system governance resilience 
17255630398072300451,XQz6QIMAAAAJ,Karla Soria,Universidad Católica del Norte,ucn,ucn.cl,802,emprendimiento educación superior 
17255630398072300451,0XRcXOIAAAAJ,Valentina Figueroa Larre,universidad católica del norte,ucn,ucn.cl,755,
17255630398072300451,YvrB-OIAAAAJ,Mirza Marvel Cequea,"Académica de ECIEM, Universidad Católica del Norte",ucn,ucn.cl,727,
17255630398072300451,nYGcBXQAAAAJ,Tomas Gabriel BAS,Universidad Catolica del Norte (Chile),ucn,ucn.cl,714,Innovation and Technology Management Natural and Technological Clusters Regional Development 
17255630398072300451,h3VqA3gAAAAJ,Rodrigo Sandoval,"Departamento de Ciencias Biomédicas, Facultad de Medicina, Universidad Católica del …",ucn,ucn.cl,669,
17255630398072300451,0vzugqAAAAAJ,Gianni Romaní,Universidad Católica del Norte,ucn,ucn.cl,648,Entrepreneurship Venture Capital Angel Investing SME Funding 
17255630398072300451,09djTlgAAAAJ,Joseline Soledad Tapia Zamora,"Departamento de Ciencias Geológicas, Universidad Católica del Norte",ucn,ucn.cl,578,Geochemistry Geology Environment Pollution 
17255630398072300451,Bm0ihOYAAAAJ,Manuel Cánovas Vidal,"Dpto. Ingeniería Metalúrgica y Minas, Universidad Católica del Norte, Chile",ucn,ucn.cl,573,Minería modelización 
17255630398072300451,S0FltvkAAAAJ,Martín Arias-Loyola,"Departamento Economía, Universidad Católica del Norte",ucn,ucn.cl,560,Power Asymmetries Extractive Industries Informal Urban Settlements Diverse Economies Regional & Territorial Development 
17255630398072300451,n1Ina8oAAAAJ,Jorge Augusto Otálora Arias,Universidad Católica del Norte (UCN),ucn,ucn.cl,546,magneto-chiral dynamics curvilinear magnonics spintronics topological insulators. 
17255630398072300451,aQIdT6YAAAAJ,Martha Hengst,Universidad Católica del Norte,ucn,ucn.cl,534,Microbial ecology Applied Microbiology Extreme microbiology Biotecnology 
17255630398072300451,YHB3AoUAAAAJ,Dr. Jorge Alfaro,"Universidad Católica del Norte, Chile",ucn,ucn.cl,524,Information Systems 
17255630398072300451,27OpLvQAAAAJ,Amir Karbassi Yazdi,Assistant Professor of Universidad Catolica del Norte,ucn,ce.ucn,512,MADM methods Optimization mathematical modelling DEA SCM 
17255630398072300451,Uj1f65EAAAAJ,Marcelo Lufin,Universidad Católica del Norte,ucn,ucn.cl,512,regional economy migration inequality 
17255630398072300451,QFmLGXgAAAAJ,Siu Lay Lisboa,"Académica Escuela de Psicología, Universidad Católica del Norte",ucn,ucn.cl,505,
17255630398072300451,4qSGMREAAAAJ,Aurora Sanchez Ortiz,Professor Universidad Católica del Norte,ucn,ucn.cl,476,Information systems e-government datamining 
17255630398072300451,ZdizWdYAAAAJ,Pablo Salazar Reinoso,Universidad Católica del Norte,ucn,ucn.cl,476,Seismology 
